10.0001, 103.205, (-19.496,-31.2569,-236.837), (-1.23009,2.54428,-3.429)
10.0001, 97.6188, (-15.6057,23.2163,63.1555), (-3.93811,0.10834,-1.77631)
20.0001, 97.3883, (25.1019,25.4616,-97.76), (-1.76383,3.1185,2.40739)
30.0001, 99.7842, (-41.3224,2.09505,70.5528), (1.69203,1.07617,3.88187)
40, 102.146, (27.7167,-20.9351,65.851), (-3.55604,-2.0995,-1.57749)
50.0001, 99.6728, (-10.4009,3.17443,19.1531), (-1.37522,2.41926,-3.36521)
60, 101.716, (-25.6849,-16.7502,26.7082), (-3.78429,-1.88882,1.25341)
88.0001, 101.562, (-11.487,-15.2642,-175.206), (-2.71085,3.47409,-0.110378)
10.0001, 100.617, (-31.6978,-6.01687,240.481), (2.57768,3.38701,1.06442)
20, 100.871, (-43.7473,-8.50505,-12.7672), (-0.793426,-1.96482,3.84812)
30.0001, 102.543, (32.2174,-24.8074,197.918), (-2.19821,-2.70407,-2.7338)
40.0001, 99.9402, (-2.52254,0.566696,-67.826), (-2.34199,1.27988,-3.46365)
50.0001, 97.2185, (-5.57361,27.1019,-201.358), (-0.463705,-3.74469,2.0884)
60, 99.0829, (24.0533,8.91949,134.221), (-0.603806,3.92939,1.77514)
10.0001, 103.492, (2.71464,-34.056,-200.936), (-4.15791,-1.58268,0.0796336)
20.0001, 99.351, (-8.79188,6.32173,-104.343), (-1.70838,0.55845,-3.97199)
30, 98.3412, (3.12038,16.1674,180.42), (0.928292,4.16068,-0.800603)
40.0001, 96.8771, (-15.1921,30.4408,-24.3756), (-2.64018,1.04705,3.23528)
50, 103.339, (-30.1359,-32.5699,-214.924), (4.04833,-1.29148,-1.30886)
60.0001, 100.268, (39.5543,-2.63252,-212.002), (-3.74799,1.95105,-1.15265)
88, 103.025, (26.3233,-29.5272,100.19), (0.998198,0.0649608,-4.32544)
130, 101.422, (29.0678,-13.9053,198.882), (-1.05626,-1.54441,3.98778)
