10, 99.8496, (-1.06222,1.46449,-139.336), (0.21488,-1.66329,4.03606)
10.0001, 99.2961, (-12.4251,6.86114,-40.5219), (3.59845,-2.29021,0.895939)
20.0001, 97.934, (22.6746,20.1406,-81.1644), (-3.20396,-2.76911,0.895939)
30, 98.1431, (41.1996,18.0995,-121.797), (-3.87006,-1.73088,0.895939)
10.0001, 101.632, (17.2736,-15.9188,-12.0501), (3.32474,-2.84355,-0.551201)
20, 102.438, (-38.2014,-23.7835,24.0168), (3.74943,2.28818,0.551201)
30, 101.531, (-15.7163,-14.9416,-36.0414), (3.12079,3.06285,-0.551201)
40, 100.088, (-0.093763,-0.879792,48.0402), (-3.8092,2.08193,0.551201)
50, 98.2929, (-15.1046,16.6242,-60.0632), (-2.95085,3.12944,-0.551201)
60, 98.096, (39.1515,18.5406,72.0481), (3.86893,1.86938,0.551201)
88.0001, 97.8025, (3.68777,21.3907,-5.70465), (-0.527106,-4.25784,-0.551201)
10, 102.337, (29.2441,-22.7864,128.782), (1.81128,-1.46231,3.76287)
20.0001, 101.027, (11.7258,-10.0228,-242.302), (-1.91812,1.22042,3.76287)
10, 104.296, (-16.4397,-41.8896,137.768), (1.50751,4.00327,-1.28622)
20, 100.083, (-0.254254,-0.811198,224.483), (-2.45908,3.38315,1.28622)
30, 95.904, (-17.0193,39.9339,86.687), (-1.65353,3.7362,1.28622)
40.0001, 99.7489, (1.72256,2.44015,-51.0174), (-2.43853,-3.38858,1.28622)
50.0001, 103.935, (-15.8336,-38.3765,-188.86), (-1.68911,-3.9213,1.28622)
60, 100.402, (1.94013,-3.93315,-173.327), (-2.42346,3.41771,-1.28622)
10, 99.8496, (-1.06222,1.46449,-139.336), (0.21488,-1.66329,4.03606)
10.0001, 99.2961, (-12.4251,6.86114,-40.5219), (3.59845,-2.29021,0.895939)
20.0001, 97.934, (22.6746,20.1406,-81.1644), (-3.20396,-2.76911,0.895939)
30, 98.1431, (41.1996,18.0995,-121.797), (-3.87006,-1.73088,0.895939)
10.0001, 101.632, (17.2736,-15.9188,-12.0501), (3.32474,-2.84355,-0.551201)
20, 102.438, (-38.2014,-23.7835,24.0168), (3.74943,2.28818,0.551201)
30, 101.531, (-15.7163,-14.9416,-36.0414), (3.12079,3.06285,-0.551201)
40, 100.088, (-0.093763,-0.879792,48.0402), (-3.8092,2.08193,0.551201)
50, 98.2929, (-15.1046,16.6242,-60.0632), (-2.95085,3.12944,-0.551201)
60, 98.096, (39.1515,18.5406,72.0481), (3.86893,1.86938,0.551201)
88.0001, 97.8025, (3.68777,21.3907,-5.70465), (-0.527106,-4.25784,-0.551201)
10.0001, 103.326, (18.9117,-32.4326,113.225), (1.01962,0.579291,-4.28863)
20, 97.8585, (-4.27478,20.8774,227.208), (-0.560147,0.124325,-4.28863)
30, 99.8917, (-15.2631,1.05013,159.042), (-0.525356,0.664977,4.28863)
40, 98.0858, (-30.6538,18.657,45.4598), (-0.461569,-0.399577,4.28863)
