10, 101.849, (-18.4545,-18.032,-145.63), (0.0198641,4.40708,-0.249549)
10.0001, 98.0679, (0.337554,18.837,97.3679), (-2.95458,2.25841,2.22074)
20, 99.0877, (-23.3498,8.88858,135.437), (-0.768325,4.23722,0.642198)
30, 97.7936, (-16.8748,21.5042,-202.603), (-0.228213,-3.59454,2.39508)
40.0001, 100.836, (28.6835,-8.16463,-102.609), (-0.661782,-1.04827,-4.2136)
50, 103.241, (-13.9697,-31.6176,217.812), (3.73076,0.996053,-2.20012)
60, 103.131, (11.581,-30.5524,164.497), (-0.983232,-3.53169,2.50814)
88.0001, 103.619, (20.8603,-35.3202,-209.684), (-4.1771,-1.42651,0.583547)
10.0001, 103.2, (-6.34139,-31.2102,-246.869), (0.998151,3.76686,-2.13496)
20.0001, 99.2413, (21.1683,7.39137,-99.1269), (2.21045,-0.775409,-3.67407)
30, 97.339, (23.7335,25.9362,-11.2166), (-3.81463,1.75923,-0.987884)
40.0001, 100.692, (2.21574,-6.76111,76.9589), (3.36481,-1.68715,-2.25726)
50, 99.957, (-2.01626,0.401728,162.238), (-0.148772,-1.15145,-4.21605)
60, 100.865, (39.2492,-8.4511,160.164), (-0.795833,2.58302,-3.46285)
88, 100.758, (40.1063,-7.42166,143.743), (-2.15353,3.28187,1.9667)
130, 100.657, (28.5529,-6.45738,-139.372), (-0.660532,-4.30837,0.508638)
176, 103.255, (21.6803,-31.8056,147.654), (-3.11267,1.46853,2.81225)
10, 103.973, (-11.6715,-38.7472,221.644), (2.67381,3.38344,1.13779)
20.0001, 100.663, (-41.3168,-6.46879,-144.619), (-3.69322,2.00986,1.25644)
30, 98.9924, (0.264782,9.81395,208.525), (0.372866,0.827804,-4.25608)
40, 101.256, (-35.0549,-12.2626,96.8357), (3.29249,-2.72449,-1.05272)
10.0001, 101.367, (15.5239,-13.3364,19.7343), (0.478334,-2.82536,3.34386)
20.0001, 103.605, (-5.54308,-35.1611,156.191), (1.81617,-1.8781,-3.6049)
30.0001, 99.5218, (-3.66451,4.65247,216.663), (-3.6517,-1.98379,1.33022)
40.0001, 96.8999, (21.5414,30.2146,146.68), (2.16081,0.242664,-3.71621)
50.0001, 99.4547, (38.7974,5.29907,99.1397), (-0.251799,3.28296,-2.86107)
60.0001, 96.6916, (-11.3277,32.2379,186.932), (-3.61949,2.05578,1.08235)
10.0001, 100.407, (8.00922,-3.97142,-198.032), (3.09103,2.5713,1.74444)
20.0001, 97.6315, (16.6025,23.0882,-205.123), (2.97411,1.13405,-2.92349)
10.0001, 102.2, (33.0202,-21.4568,-14.4935), (-4.17137,-0.0882881,-1.46427)
20.0001, 99.4036, (38.8999,5.80828,135.763), (-2.92632,1.62558,-2.79488)
30, 103.214, (-29.6056,-31.3471,-30.1114), (1.05414,1.55577,4.02672)
40.0001, 96.1543, (8.28982,37.485,229.393), (1.98179,-2.02647,3.21893)
50, 100.304, (3.98429,-2.98544,76.0076), (-2.21394,2.7628,2.57972)
60, 100.904, (18.5787,-8.83816,-114.904), (-0.0877386,-3.68859,2.38556)
10.0001, 100.163, (21.0056,-1.59061,-53.2844), (2.80541,-0.712626,-3.28395)
20, 102.579, (-32.1999,-25.1558,-59.5933), (0.664336,-1.76221,4.00974)
30, 101.906, (-12.1579,-18.6,134.576), (3.52975,-1.44999,-2.22135)
40, 102.778, (-22.8125,-27.0987,144.532), (0.760511,4.2399,1.0524)
50.0001, 102.628, (-17.9373,-25.6386,76.3733), (4.05431,-1.72035,0.486767)
60, 95.8075, (-15.2418,40.8592,66.9038), (-1.17065,3.88682,-1.36069)
88.0001, 102.847, (0.196235,-27.7906,-173.359), (-2.23682,3.54703,-1.44608)
10.0001, 102.174, (-35.9074,-21.2052,87.6208), (-0.809833,3.36801,-2.74736)
20.0001, 98.1798, (-24.9264,17.7419,230.974), (1.27139,0.295381,4.13272)
30, 100.133, (-17.6269,-1.30528,-51.9378), (-0.766716,4.13904,-1.19884)
40.0001, 102.887, (0.799745,-28.1666,140.038), (-3.25633,2.62465,-1.48025)
50, 103.032, (-31.4208,-29.5771,-6.52852), (3.45713,-2.2171,-1.68641)
60.0001, 99.9469, (0.589192,0.497588,244.101), (-1.31923,-0.3347,4.15557)
10.0001, 102.894, (-11.2731,-28.2218,126.223), (1.1183,-3.7166,-2.1497)
20.0001, 101.504, (-8.58415,-14.6734,-9.21043), (0.951058,-1.394,4.07079)
30, 104.142, (-4.29317,-40.3963,-235.744), (2.97821,2.84755,1.7162)
40, 104.147, (-3.26814,-40.448,87.1566), (-3.78862,-1.46868,1.84768)
50.0001, 100.225, (36.3516,-2.20831,-142.774), (-1.00661,2.70869,-3.28999)
60.0001, 96.2393, (-1.29926,36.6486,177.745), (0.333107,-0.38156,4.2609)
88.0001, 103.26, (10.6933,-31.8207,67.7471), (-1.23661,3.70406,-2.12267)
130, 97.4053, (-27.1813,25.2551,-158.676), (3.9237,1.35186,-1.18826)
176, 102.698, (-17.9108,-26.3664,-106.488), (3.33633,-2.7611,-0.944799)
10.0001, 98.7686, (-29.5909,12.0033,-239.576), (-3.56943,-0.00334516,-2.4809)
20, 96.2915, (-1.29056,36.154,-54.8575), (-0.229918,1.89739,-3.84302)
30.0001, 104.282, (-9.38232,-41.7657,-59.8851), (2.92661,3.32936,-0.548452)
40.0001, 96.2193, (7.08537,36.8511,213.997), (-2.94623,-2.5507,-1.79489)
50, 100.527, (-37.1521,-5.15757,-64.8513), (2.81367,2.68698,2.02375)
60.0001, 99.6411, (-35.0224,3.47813,172.278), (-3.57279,1.54278,1.97931)
88, 101.956, (38.255,-19.1054,124.224), (-2.1257,2.05149,3.28304)
10, 100.193, (12.8639,-1.88517,66.7168), (-3.53415,2.33899,-1.0987)
20.0001, 102.002, (39.9222,-19.528,53.137), (2.88495,1.72707,-2.86506)
10.0001, 100.665, (-41.105,-6.48783,206.465), (3.12744,1.31949,2.78147)
20.0001, 101.728, (-15.1721,-16.8546,4.36793), (2.36872,3.7177,-0.172436)
10.0001, 99.3786, (-8.16902,6.05618,42.0393), (-1.13611,1.65415,3.8711)
20, 98.1313, (-3.55777,18.2149,-147.175), (2.52835,3.18213,-1.50175)
30, 99.862, (20.7293,1.33454,42.6142), (-1.73881,-2.78467,-2.88567)
40, 95.6719, (13.4033,42.1886,-29.74), (-3.05312,1.67053,2.48818)
50.0001, 99.7113, (-17.4507,2.79718,-219.547), (-3.2632,2.78854,0.80721)
10, 98.5697, (41.478,13.9432,-46.1981), (-4.0113,0.699248,-1.50936)
20.0001, 103.608, (-6.22502,-35.1892,-189.496), (0.50239,-3.96919,1.95312)
30.0001, 95.7383, (14.3097,41.5458,46.3662), (2.02084,3.67869,0.836294)
40, 100.453, (9.03184,-4.42535,117.88), (-0.542652,-2.4743,-3.57788)
10.0001, 97.7611, (35.8032,21.8274,170.882), (-0.752367,1.07132,-4.12179)
20.0001, 95.7712, (12.8141,41.2269,154.548), (-3.93034,1.23597,-1.16062)
30, 101.469, (27.2252,-14.3348,-136.894), (1.14934,-2.06657,3.71761)
40.0001, 103.231, (-27.9288,-31.5197,-169.82), (2.78115,3.24934,1.20681)
50.0001, 103.418, (10.0008,-33.3505,-233.335), (3.9673,0.900301,1.79868)
60.0001, 100.416, (-43.2018,-4.07869,-193.134), (3.717,-2.31508,-0.187577)
10.0001, 101.62, (27.3291,-15.8041,36.0278), (2.09473,-3.71032,-1.13443)
20.0001, 99.4672, (21.6089,5.18808,-51.5315), (-1.10406,4.11599,-0.932232)
30.0001, 101.826, (31.0758,-17.8141,-203.707), (1.55613,3.8063,1.60347)
40, 101.151, (6.10445,-11.2369,-45.4128), (2.58795,-3.52207,-0.498994)
50.0001, 100.427, (4.74591,-4.18291,-15.5926), (2.17184,3.72672,0.779534)
60, 100.835, (1.00718,-8.16075,-244.085), (3.64188,1.62688,-1.83875)
88, 99.3181, (-7.66187,6.61825,37.3442), (2.05615,-0.0167146,3.84354)
10, 99.9722, (18.6976,0.267113,-74.0488), (1.54465,4.07167,-0.401899)
20.0001, 101.388, (-30.7106,-13.5401,-118.988), (1.84553,2.18661,-3.34807)
30.0001, 99.5302, (-41.7645,4.5699,44.6301), (1.99911,1.80082,3.43541)
40, 97.1367, (-23.382,27.9056,-168.518), (-1.66106,1.88678,3.50206)
